jackknife_run bin_cM average_cov exp_fit
all 0.42600 -0.00046 0.00020
all 0.42700 0.00001 0.00020
all 0.42800 -0.00123 0.00020
all 0.42900 -0.00074 0.00020
all 0.43000 -0.00129 0.00019
all 0.43100 -0.00052 0.00019
all 0.43200 -0.00040 0.00019
all 0.43300 0.00077 0.00019
all 0.43400 0.00019 0.00019
all 0.43500 0.00025 0.00019
all 0.43600 -0.00051 0.00018
all 0.43700 -0.00024 0.00018
all 0.43800 0.00064 0.00018
all 0.43900 0.00110 0.00018
all 0.44000 0.00024 0.00018
all 0.44100 0.00022 0.00018
all 0.44200 0.00085 0.00018
all 0.44300 0.00003 0.00017
all 0.44400 0.00115 0.00017
all 0.44500 0.00070 0.00017
all 0.44600 -0.00035 0.00017
all 0.44700 0.00006 0.00017
all 0.44800 -0.00018 0.00017
all 0.44900 0.00032 0.00017
all 0.45000 -0.00023 0.00016
all 0.45100 0.00017 0.00016
all 0.45200 -0.00037 0.00016
all 0.45300 0.00082 0.00016
all 0.45400 0.00175 0.00016
all 0.45500 0.00083 0.00016
all 0.45600 0.00030 0.00016
all 0.45700 0.00010 0.00016
all 0.45800 0.00007 0.00015
all 0.45900 0.00088 0.00015
all 0.46000 0.00045 0.00015
all 0.46100 -0.00090 0.00015
all 0.46200 0.00034 0.00015
all 0.46300 -0.00028 0.00015
all 0.46400 -0.00093 0.00015
all 0.46500 -0.00109 0.00015
all 0.46600 0.00009 0.00014
all 0.46700 -0.00108 0.00014
all 0.46800 0.00016 0.00014
all 0.46900 -0.00023 0.00014
all 0.47000 0.00062 0.00014
all 0.47100 0.00025 0.00014
all 0.47200 -0.00091 0.00014
all 0.47300 -0.00047 0.00014
all 0.47400 0.00053 0.00014
all 0.47500 0.00019 0.00014
all 0.47600 0.00058 0.00013
all 0.47700 0.00104 0.00013
all 0.47800 -0.00036 0.00013
all 0.47900 -0.00126 0.00013
all 0.48000 -0.00105 0.00013
all 0.48100 -0.00067 0.00013
all 0.48200 -0.00106 0.00013
